fighter,odds,ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,current_lose_streak,current_win_streak,draw,avg_SIG_STlanded,avg_SIG_STpct,avg_TD_landed,avg_TD_pct,longest_win_streak,losses,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Stance,Height_cms,Reach_cms,Weight_lbs,age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,match_weightclass_rank,Women's Flyweight_rank,Women's Featherweight_rank,Women's Strawweight_rank,Women's Bantamweight_rank,Heavyweight_rank,Light Heavyweight_rank,Middleweight_rank,Welterweight_rank,Lightweight_rank,Featherweight_rank,Bantamweight_rank,Flyweight_rank,Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,kd_bout,sig_str_landed_bout,sig_str_attempted_bout,sig_str_pct_bout,tot_str_landed_bout,tot_str_attempted_bout,td_landed_bout,td_attempted_bout,td_pct_bout,sub_attempts_bout,pass_bout,rev_bout,bout_id,opponent,corner,avg_SUATT,country_of_origin,camp,camp_country,camp_city,primary_discipline,boxer,wrestler,thai_boxer,kickboxer,karateka,judoka,mixed_martial_artist,taekwondoin,kung_fu_jia,jiujitiero,sambo_practitioner,g_in_a_gi,capoeira_artist,striking_arts,wrestling_arts
Jessica Eye,-105,95.23809524,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,0,False,Women's Flyweight,FEMALE,3,1,0,0,3.65,0.36,0.4,0.45,3,7,39,1,0,2,2,1,0,0,5,Orthodox,167.64,167.64,125,34,0,0,-1,1,-2,-14,-1,0,1,0.0,-2.54,1,2.52,-0.1,1.5,0,1,,7.0,6.0,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4dbe8a3378449ba691bb8cf91edf0970,Joanne Calderwood,Red,,United States,,,,boxing,1,0,1,1,0,0,1,0,0,0,0,0,0,3,0
Andrew Sanchez,115,115.0,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,0,False,Middleweight,MALE,3,0,1,0,4.57,0.44,2.16,0.32,2,3,22,0,0,0,4,1,0,0,5,Orthodox,185.42,187.96,185,32,0,1,0,-3,-3,-16,0,0,0,2.54,2.54,-2,0.4,0.5,-1.65,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,29ba718541332631e1d7bc24804d20fc,Makhmud Muradov,Red,,United States,,,,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Marina Rodriguez,250,250.0,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,1,False,Women's Strawweight,FEMALE,3,1,0,2,5.04,0.5,0.38,0.33,2,1,16,0,0,0,2,1,0,0,3,Orthodox,167.64,165.1,115,33,-1,4,2,1,-1,-7,0,-1,2,-7.62,2.54,-6,-0.33,1.7,1.9,0,1,,10.0,8.0,,,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,25fd78b9b27d4f0276aaa25c174828fe,Amanda Ribas,Red,,Brazil,,,,muay thai,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
Brad Tavares,-134,74.62686567,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,1,False,Middleweight,MALE,3,2,0,0,3.0,0.4,1.03,0.27,5,6,49,0,0,2,8,2,0,0,12,Orthodox,185.42,187.96,185,33,0,0,0,-5,-2,-20,0,-2,5,2.54,12.7,-3,-1.09,0.9,2.67,0,1,,,14.0,,,,,,,14.0,,,,,,,,,,,,,,,,,,,,,,,28ac8e12886c452d08d9dc051cdf50d4,Antonio Carlos Junior,Red,,United States,Xtreme Couture,Nevada,Las Vegas,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Julianna Pena,105,105.0,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,1,False,Women's Bantamweight,FEMALE,3,1,0,0,2.8,0.47,2.73,0.51,4,2,16,0,0,0,3,2,0,0,5,Orthodox,167.64,175.26,135,31,-1,1,1,5,3,18,1,-1,3,0.0,-7.62,9,-0.41,-0.2,1.78,0,1,,9.0,7.0,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,31686adcf80d80d5079b424ee60d8fac,Sara McMann,Red,,United States,,,,kickboxing,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0
Khalil Rountree Jr.,-335,29.85074627,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,0,False,Light Heavyweight,MALE,3,1,0,0,3.01,0.4,0.0,0.0,3,4,15,0,0,0,1,3,0,0,4,Southpaw,185.42,193.04,205,30,2,0,-3,-4,-1,-12,0,-3,0,5.08,-5.08,2,0.25,-0.2,0.0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bcb96a89807bd7eb1da8f84c5e74d32a,Marcin Prachnio,Red,,,,,,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Nik Lentz,390,390.0,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,0,False,Catch Weight,MALE,3,2,0,1,3.46,0.48,3.41,0.33,4,8,64,0,0,2,7,3,2,0,14,Orthodox,172.72,172.72,145,36,-2,3,-1,-11,-8,-55,0,-3,-2,-2.54,10.16,-10,0.98,-1.2,-0.41,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,04a520f1276b062cb2eef15cbad7ab7d,Movsar Evloev,Red,,,,,,wrestling,0,1,0,0,0,0,1,0,1,1,0,0,0,1,1
Amir Albazi,-106,94.33962264,2021-01-23,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,1,False,Flyweight,MALE,3,0,1,0,2.55,0.42,3.19,1.0,1,0,1,0,0,0,0,0,1,0,1,Orthodox,165.1,172.72,125,27,1,-1,-1,-1,1,2,0,0,-1,-2.54,-5.08,5,1.85,-3.2,-1.19,0,1,,,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,e3c203f2137c5698016d34efb19c11c3,Zhalgas Zhumagulov,Red,,Sweden,London Shootfighters,United Kingdom,London,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Michael Chiesa,120,120.0,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,1,False,Welterweight,MALE,5,0,3,0,2.07,0.39,3.84,0.51,3,4,30,0,0,0,4,0,6,0,10,Southpaw,185.42,190.5,170,33,0,0,4,7,2,31,0,5,-5,5.08,12.7,0,1.89,-0.8,-1.21,1,1,8.0,,,,,,,,8.0,,,,,,1,,,,,,,,,,,,,,,,,,de25833054c92bfd550a523dde14f4e9,Neil Magny,Red,,United States,,,,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Warlley Alves,185,185.0,2021-01-20,"Abu Dhabi, Abu Dhabi, United Arab Emirates",United Arab Emirates,1,False,Welterweight,MALE,3,1,0,0,3.01,0.46,1.39,0.52,4,4,27,0,0,0,2,2,3,0,7,Orthodox,180.34,182.88,170,30,-1,1,-3,-6,-4,-24,0,-2,-3,5.08,10.16,3,3.52,-1.0,2.61,1,1,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,e520abb025f3f1d2160af1542cef93fe,Mounir Lazzez,Red,,Brazil,,,,kickboxing,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
