fighter,odds,ev,date,location,country,Winner,title_bout,weight_class,gender,no_of_rounds,current_lose_streak,current_win_streak,draw,avg_SIG_STlanded,avg_SIG_STpct,avg_TD_landed,avg_TD_pct,longest_win_streak,losses,total_rounds_fought,total_title_bouts,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Stance,Height_cms,Reach_cms,Weight_lbs,age,lose_streak_dif,win_streak_dif,longest_win_streak_dif,win_dif,loss_dif,total_round_dif,total_title_bout_dif,ko_dif,sub_dif,height_dif,reach_dif,age_dif,sig_str_dif,avg_sub_att_dif,avg_td_dif,empty_arena,constant_1,match_weightclass_rank,Women's Flyweight_rank,Women's Featherweight_rank,Women's Strawweight_rank,Women's Bantamweight_rank,Heavyweight_rank,Light Heavyweight_rank,Middleweight_rank,Welterweight_rank,Lightweight_rank,Featherweight_rank,Bantamweight_rank,Flyweight_rank,Pound-for-Pound_rank,better_rank,finish,finish_details,finish_round,finish_round_time,total_fight_time_secs,kd_bout,sig_str_landed_bout,sig_str_attempted_bout,sig_str_pct_bout,tot_str_landed_bout,tot_str_attempted_bout,td_landed_bout,td_attempted_bout,td_pct_bout,sub_attempts_bout,pass_bout,rev_bout,bout_id,opponent,corner,avg_SUATT,country_of_origin,camp,camp_country,camp_city,primary_discipline,boxer,wrestler,thai_boxer,kickboxer,karateka,judoka,mixed_martial_artist,taekwondoin,kung_fu_jia,jiujitiero,sambo_practitioner,g_in_a_gi,capoeira_artist,striking_arts,wrestling_arts
Vernon Ramos,-170,58.82352941,2015-11-21,"Monterrey, Nuevo Leon, Mexico", Mexico,0,False,Welterweight,MALE,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,182.88,170,23,0,0,0,0,0,0,0,0,0,15.24,5.08,-2,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,187b6960bce71eff3ad06c60d710c6fa,Alvaro Herrera,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cesar Arzamendia,-190,52.63157895,2015-11-21,"Monterrey, Nuevo Leon, Mexico", Mexico,0,False,Lightweight,MALE,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,180.34,180.34,155,24,0,0,0,0,0,0,0,0,0,0.0,0.0,-7,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,cb7f5b3468a744c323a0c666fd53c426,Polo Reyes,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Valmir Lazaro,115,115.0,2015-11-21,"Monterrey, Nuevo Leon, Mexico", Mexico,0,False,Lightweight,MALE,3,0,1,0,89.0,0.365,2.0,0.2,1,1,6,0,0,1,0,0,0,0,1,Orthodox,182.88,185.42,155,30,-1,-1,1,1,-1,6,0,0,0,-15.24,-15.24,-4,-59.75,0.0,2.0,0,1,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,0.0,41.0,102.0,0.4,60.0,123.0,0.0,0.0,0.0,0.0,1.0,0.0,06d67c51913aeb81b2e335f6ba7b1f3a,Michel Prazeres,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ronda Rousey,-750,13.33333333,2015-11-14,"Melbourne, Victoria, Australia", Australia,0,True,Women's Bantamweight,FEMALE,5,0,6,0,15.66666667,0.531666667,1.333333333,0.458333333,6,0,8,6,0,0,0,3,3,0,6,Orthodox,170.18,172.72,135,28,0,-4,-4,-4,0,-2,-6,-3,-3,2.54,2.54,-6,38.83333333,-0.833333333,-0.833333333,0,1,0.0,,,,0.0,,,,,,,,,4.0,1,KO/TKO,Kick,2.0,0:59,359.0,0.0,17.0,65.0,0.26,21.0,69.0,0.0,1.0,0.0,0.0,0.0,0.0,fedab2cc97f329b2752e86c581486b20,Holly Holm,Red,,,,,,judo,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2
Joanna Jedrzejczyk,-1400,7.142857143,2015-11-14,"Melbourne, Victoria, Australia", Australia,1,True,Women's Strawweight,FEMALE,5,0,4,0,65.75,0.42,0.0,0.0,4,0,11,2,0,1,1,2,0,0,4,Orthodox,167.64,165.1,125,28,0,-1,-1,-1,0,-2,-2,-2,0,2.54,7.62,-4,4.58333333,0.666666667,1.0,0,1,0.0,,,0.0,,,,,,,,,,14.0,1,U-DEC,,5.0,5:00,1500.0,0.0,220.0,441.0,0.49,227.0,448.0,0.0,0.0,0.0,0.0,0.0,0.0,2414c56928268e7a181048d008d3709c,Valerie Letourneau,Red,,Poland,American Top Team,Florida,Coconut Creek,muay thai,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0
Mark Hunt,-290,34.48275862,2015-11-14,"Melbourne, Victoria, Australia", Australia,1,False,Heavyweight,MALE,3,2,0,0,32.7,0.408,0.7,0.34,4,5,27,1,0,0,1,4,0,0,5,Orthodox,177.8,182.88,265,41,2,1,-2,-2,0,-12,0,-1,0,15.24,20.32,5,-12.95,-0.1,-0.7,0,1,8.0,,,,,8.0,,,,,,,,,1,KO/TKO,Punch,1.0,3:41,221.0,1.0,12.0,18.0,0.66,13.0,19.0,0.0,0.0,0.0,0.0,0.0,0.0,3338e055cf888bd1d51e74cf13413740,Antonio Silva,Red,,,,,,kickboxing,1,0,1,1,0,0,0,0,0,1,0,1,0,3,0
Uriah Hall,-155,64.51612903,2015-11-14,"Melbourne, Victoria, Australia", Australia,0,False,Middleweight,MALE,3,0,2,0,30.75,0.5775,0.875,0.405,3,3,17,1,0,0,1,2,0,2,5,Orthodox,182.88,200.66,185,31,0,1,0,0,1,-1,0,-1,0,0.0,-15.24,7,16.10714286,-0.25,-0.446428571,0,1,10.0,,,,,,,10.0,,,,,,,1,U-DEC,,3.0,5:00,900.0,0.0,45.0,94.0,0.47,58.0,107.0,0.0,1.0,0.0,0.0,0.0,1.0,c733b5df5e59866f4dec9ff51c551b98,Robert Whittaker,Red,,Jamaica,Xtreme Couture,Nevada,Las Vegas,karate,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0
Stefan Struve,-160,62.5,2015-11-14,"Melbourne, Victoria, Australia", Australia,0,False,Heavyweight,MALE,3,0,1,0,23.86666667,0.438,0.2,0.2,4,5,26,0,1,0,1,4,4,0,10,Orthodox,210.82,213.36,265,27,0,1,-1,-5,4,-10,0,-3,-4,-22.86,-22.86,-2,4.46666666,-1.1,1.3,0,1,14.0,,,,,14.0,,,,,,,,,1,U-DEC,,3.0,5:00,900.0,0.0,33.0,58.0,0.56,34.0,59.0,1.0,1.0,1.0,0.0,1.0,0.0,a243d7486a1495c6e5cde58b1921d9b1,Jared Rosholt,Red,,,Sanford MMA formerly the Blackzilians,Florida,Fort Lauderdale,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jake Matthews,-1000,10.0,2015-11-14,"Melbourne, Victoria, Australia", Australia,1,False,Lightweight,MALE,3,1,0,0,30.0,0.416666667,2.0,0.453333333,2,1,6,0,0,0,0,0,2,0,2,Orthodox,180.34,185.42,170,21,0,0,-1,-1,-1,1,0,0,-1,-2.54,-5.08,-11,-4.66666667,-0.333333334,-1.0,0,1,,,,,,,,,,,,,,,neither,KO/TKO,,2.0,5:00,600.0,0.0,62.0,98.0,0.63,96.0,136.0,1.0,3.0,0.33,0.0,0.0,0.0,04e6b724e99fcb3fb4d32f4af9d46f93,Akbarh Arreola,Red,,Australia,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kyle Noke,205,205.0,2015-11-14,"Melbourne, Victoria, Australia", Australia,1,False,Welterweight,MALE,3,0,1,0,26.875,0.56375,1.0,0.3125,3,3,16,0,0,1,0,2,2,0,5,Southpaw,185.42,193.04,170,35,0,1,-1,-3,0,-3,0,-2,-1,-2.54,-2.54,7,-2.875,0.1,0.6,0,1,,,,,,,,,,,,,,,neither,KO/TKO,Kick,1.0,2:01,121.0,1.0,23.0,43.0,0.53,24.0,44.0,0.0,0.0,0.0,0.0,0.0,0.0,b387aefa3f600bc9d8567ab3d6968bd9,Peter Sobotta,Red,,,JacksonWink MMA,New Mexico,Albuquerque,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Anthony Perosh,450,450.0,2015-11-14,"Melbourne, Victoria, Australia", Australia,0,False,Light Heavyweight,MALE,3,1,0,0,13.18181818,0.443636364,0.818181818,0.168181818,3,6,17,0,0,0,0,2,3,0,5,Orthodox,190.5,190.5,205,43,0,0,-1,-2,3,-1,0,0,-3,0.0,2.54,13,36.48484849,-0.454545455,0.015151515,0,1,,,,,,,,,,,,,,,neither,KO/TKO,Punch,1.0,2:56,176.0,0.0,6.0,32.0,0.18,7.0,33.0,0.0,0.0,0.0,0.0,0.0,0.0,e8886a974d136f8c6aab6f9ff756a9e9,Gian Villante,Red,,,,,,jiu jitsu,0,0,1,0,1,0,0,0,0,1,0,0,0,2,0
Richie Vaculik,-135,74.07407407,2015-11-14,"Melbourne, Victoria, Australia", Australia,0,False,Flyweight,MALE,3,1,0,0,34.33333333,0.446666667,2.0,0.42,1,2,7,0,0,0,1,0,0,0,1,Orthodox,167.64,175.26,125,32,-2,0,-1,-1,-1,2,0,0,0,0.0,-5.08,2,12.0,-1.0,-0.333333333,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,63.0,156.0,0.4,82.0,176.0,3.0,3.0,1.0,0.0,2.0,0.0,6336d76d7d47d8037444637b9cd11d09,Danny Martinez,Red,,,,,,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
Daniel Kelly,230,230.0,2015-11-14,"Melbourne, Victoria, Australia", Australia,1,False,Middleweight,MALE,3,1,0,0,29.33333333,0.363333333,0.333333333,0.166666667,2,1,5,0,0,0,1,0,1,0,2,Southpaw,182.88,177.8,185,38,0,0,-2,-2,0,-4,0,0,-1,10.16,12.7,14,-20.33333333,-0.333333333,-0.333333333,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,63.0,121.0,0.52,115.0,176.0,5.0,13.0,0.38,0.0,8.0,0.0,a4c897b024b579b839796e40f604b327,Steve Montgomery,Red,,,,,,judo,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1
Richard Walsh,-420,23.80952381,2015-11-14,"Melbourne, Victoria, Australia", Australia,1,False,Welterweight,MALE,3,2,0,0,46.66666667,0.546666667,1.666666667,0.183333333,1,2,7,0,0,0,1,0,0,0,1,Orthodox,182.88,185.42,170,26,1,0,-1,-1,1,-6,0,0,0,-2.54,-5.08,-6,-43.66666667,0.0,-1.666666667,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,93.0,170.0,0.54,132.0,214.0,0.0,0.0,0.0,0.0,0.0,0.0,41ad6697578d8838c30d13c21f579eff,Steve Kennedy,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
James Moontasri,-400,25.0,2015-11-14,"Melbourne, Victoria, Australia", Australia,1,False,Welterweight,MALE,3,1,0,0,24.33333333,0.45,0.0,0.0,1,2,6,0,0,0,0,0,1,0,1,Switch,177.8,180.34,170,27,1,0,-1,-1,2,-6,0,0,-1,2.54,2.54,-1,-24.33333333,-0.333333333,0.0,0,1,,,,,,,,,,,,,,,neither,KO/TKO,Spinning Back Kick,1.0,4:36,276.0,1.0,11.0,21.0,0.52,13.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,5c776c6caa967a4e134ddf4f63c2e422,Anton Zafir,Red,,,,,,taekwondo,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0
Ben Nguyen,-130,76.92307692,2015-11-14,"Melbourne, Victoria, Australia", Australia,1,False,Flyweight,MALE,3,0,1,0,27.0,0.45,0.0,0.0,1,0,1,0,0,0,0,1,0,0,1,Switch,165.1,165.1,125,27,0,0,0,0,-1,3,0,0,0,0.0,7.62,1,-4.0,0.5,0.5,0,1,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,1.0,2:35,155.0,0.0,11.0,18.0,0.61,20.0,37.0,0.0,0.0,0.0,2.0,2.0,0.0,a6d1c13d8035a08891b26a365478882d,Ryan Benoit,Red,,,Tiger Muay Thai,Thailand,Phuket,taekwondo,0,0,0,0,0,1,0,1,0,1,0,0,0,1,1
Vitor Belfort,-320,31.25,2015-11-07,"Sao Paulo, Sao Paulo, Brazil", Brazil,1,False,Middleweight,MALE,5,1,0,0,11.0,0.511,0.3,0.1375,3,7,30,6,0,0,0,10,2,1,13,Southpaw,182.88,187.96,185,38,1,1,1,-5,0,9,-3,-8,-2,-2.54,0.0,-7,17.6,-0.066666667,0.633333333,0,1,4.0,,,,,,,4.0,,,,,,,1,KO/TKO,Kick,1.0,2:07,127.0,,,,,,,,,,,,,35bee89c3a661c5f68d5e2930453d58a,Dan Henderson,Red,,,RVCA Training Center ,California,Costa Mesa,jiu jitsu,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0
Glover Teixeira,-525,19.04761905,2015-11-07,"Sao Paulo, Sao Paulo, Brazil", Brazil,1,False,Light Heavyweight,MALE,3,0,1,0,40.125,0.47125,1.875,0.4125,5,2,19,1,0,0,1,1,3,1,6,Orthodox,187.96,193.04,205,36,0,0,-2,-2,0,-6,-1,0,-3,0.0,0.0,2,-0.45833333,-0.333333333,2.458333333,0,1,4.0,,,,,,4.0,,,,,,,,1,KO/TKO,Punches,2.0,1:12,372.0,,,,,,,,,,,,,972c707ecc447af3500f4cd814c9661e,Patrick Cummins,Red,,Brazil,Teixeira MMA  Fitness ,Connecticut,Bethel,boxing,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1
Thomas Almeida,-525,19.04761905,2015-11-07,"Sao Paulo, Sao Paulo, Brazil", Brazil,1,False,Bantamweight,MALE,3,0,3,0,58.33333333,0.463333333,0.0,0.0,3,0,6,0,0,0,1,2,0,0,3,Southpaw,170.18,177.8,135,24,0,-2,-2,-2,-1,-4,0,-1,0,2.54,-2.54,-5,-48.33333333,0.0,0.5,0,1,8.0,,,,,,,,,,,8.0,,,1,KO/TKO,Punches,1.0,4:24,264.0,,,,,,,,,,,,,2000af447ace0080f856ed4fd5cdf99f,Anthony Birchak,Red,,Brazil,,,,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Alex Oliveira,-280,35.71428571,2015-11-07,"Sao Paulo, Sao Paulo, Brazil", Brazil,1,False,Lightweight,MALE,3,0,2,0,14.33333333,0.313333333,2.666666667,0.303333333,2,1,7,0,0,0,1,0,1,0,2,Orthodox,180.34,193.04,170,27,-2,-2,-1,0,-2,6,0,0,1,-5.08,-12.7,-1,34.66666667,-0.6,-0.466666667,0,1,,,,,,,,,,,,,,,neither,KO/TKO,Punch,3.0,0:51,651.0,,,,,,,,,,,,,00657077dd099ad5b8dc1be3c81073be,Piotr Hallmann,Red,,Brazil,,,,muay thai,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
Gilbert Burns,155,155.0,2015-11-07,"Sao Paulo, Sao Paulo, Brazil", Brazil,0,False,Lightweight,MALE,3,0,3,0,22.66666667,0.406666667,1.666666667,0.533333333,3,0,7,0,0,0,1,0,2,0,3,Orthodox,177.8,180.34,155,29,0,0,0,0,0,2,0,1,-2,-2.54,-2.54,-1,44.0,-1.0,-1.333333334,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,765be0a1370eea2855f43cfbfd8d5f7d,Rashid Magomedov,Red,,Brazil,Sanford MMA formerly the Blackzilians,Florida,Fort Lauderdale,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Fabio Maldonado,500,500.0,2015-11-07,"Sao Paulo, Sao Paulo, Brazil", Brazil,0,False,Light Heavyweight,MALE,3,1,0,0,69.1,0.536,0.4,0.25,3,5,26,0,0,1,2,2,0,0,5,Orthodox,185.42,190.5,205,35,1,1,-1,-2,4,-16,1,-1,0,5.08,10.16,9,-3.1,-0.5,2.85,0,1,12.0,,,,,,12.0,,,,,,,,1,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,af1ddcb893c3cc4327a76cc6a51d3e83,Corey Anderson,Red,,,,,,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Gleison Tibau,-130,76.92307692,2015-11-07,"Sao Paulo, Sao Paulo, Brazil", Brazil,0,False,Lightweight,MALE,3,1,0,0,22.72,0.346,3.28,0.51,3,9,62,0,0,5,6,1,4,0,16,Southpaw,177.8,180.34,155,32,0,0,-1,-13,6,-49,0,2,-4,-5.08,-2.54,0,9.61333333,-0.306666667,-1.613333333,0,1,,,,,,,,,,,,,,,neither,DQ,Rear Naked Choke,1.0,1:45,105.0,,,,,,,,,,,,,add182bdbae4a9d7d37b93b3d4c0662b,Abel Trujillo,Red,,,American Top Team,Florida,Coconut Creek,jiu jitsu,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Yan Cabral,170,170.0,2015-11-07,"Sao Paulo, Sao Paulo, Brazil", Brazil,0,False,Lightweight,MALE,3,0,1,0,17.33333333,0.523333333,2.333333333,0.39,1,1,8,0,0,0,1,0,1,0,2,Orthodox,180.34,185.42,155,32,0,2,2,1,1,0,0,1,0,-2.54,-2.54,6,20.0,-1.333333333,0.333333334,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,6b6741fc7ee1e2f45efd43a657f71f46,Johnny Case,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Clay Guida,-170,58.82352941,2015-11-07,"Sao Paulo, Sao Paulo, Brazil", Brazil,0,False,Featherweight,MALE,3,0,1,0,28.38095238,0.348571429,2.857142857,0.364761905,4,9,58,0,0,3,4,1,4,0,12,Orthodox,170.18,177.8,155,33,-1,-1,-2,-3,2,-22,0,0,0,0.0,-5.08,3,-8.06845238,0.270833333,-0.357142857,0,1,11.0,,,,,,,,,,11.0,,,,1,SUB,Guillotine Choke,1.0,0:39,39.0,,,,,,,,,,,,,e9ca474ccdd802d2cf81f7f956458bbf,Thiago Tavares,Red,,United States,Team Alpha Male,California,Sacramento,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Kevin Souza,160,160.0,2015-11-07,"Sao Paulo, Sao Paulo, Brazil", Brazil,0,False,Featherweight,MALE,3,0,3,0,45.33333333,0.516666667,0.0,0.0,3,0,6,0,0,1,0,2,0,0,3,Orthodox,182.88,187.96,145,31,0,0,0,0,-1,3,0,-1,1,-2.54,-5.08,1,-26.33333333,2.0,1.25,0,1,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,b8f81430971dc678e947f5922f4e74d4,Chas Skelly,Red,,,,,,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Viscardi Andrade,110,110.0,2015-11-07,"Sao Paulo, Sao Paulo, Brazil", Brazil,1,False,Welterweight,MALE,3,1,0,0,18.0,0.5,0.5,0.25,1,1,4,0,0,0,0,1,0,0,1,Orthodox,180.34,190.5,170,31,0,0,0,0,-1,5,0,-1,0,0.0,-10.16,-2,14.0,0.0,0.5,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,8cfb438c355dfdccf5c59f1af50f28c7,Gasan Umalatov,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Pedro Munhoz,-170,58.82352941,2015-11-07,"Sao Paulo, Sao Paulo, Brazil", Brazil,0,False,Bantamweight,MALE,3,1,0,0,19.66666667,0.626666667,0.666666667,0.333333333,1,2,5,0,0,0,0,1,0,0,1,Orthodox,167.64,165.1,135,29,1,1,0,0,2,-4,0,0,0,-5.08,7.62,3,-4.66666667,-1.0,-0.666666667,0,1,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,,,,,,,,,,,,,d7cfaf7646fdfb6ce8ee33869ccdc14d,Jimmie Rivera,Red,,Brazil,,,,karate,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
Bruno Korea,165,165.0,2015-11-07,"Sao Paulo, Sao Paulo, Brazil", Brazil,0,False,Bantamweight,MALE,3,0,0,0,,,,,0,0,0,0,0,0,0,0,0,0,0,Orthodox,167.64,165.1,135,24,0,0,0,0,0,0,0,0,0,0.0,2.54,2,0.0,0.0,0.0,0,1,,,,,,,,,,,,,,,neither,,,,,,,,,,,,,,,,,,aed07fc1ef7de860be4a174342a0b016,Matheus Nicolau,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Paddy Holohan,160,160.0,2015-10-24,"Dublin, Leinster, Ireland", Ireland,0,False,Flyweight,MALE,3,0,2,0,26.5,0.46,1.75,0.395,2,1,10,0,0,0,2,0,1,0,3,Orthodox,177.8,175.26,125,27,0,0,0,0,0,2,0,1,-1,-2.54,-2.54,3,29.5,0.25,0.25,0,1,,,,,,,,,,,,,,,neither,SUB,Rear Naked Choke,2.0,4:09,549.0,0.0,16.0,40.0,0.4,31.0,56.0,4.0,9.0,0.44,0.0,4.0,1.0,bea395ec53a353d8fe0953100b3f01df,Louis Smolka,Red,,,,,,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Norman Parke,-240,41.66666667,2015-10-24,"Dublin, Leinster, Ireland", Ireland,1,False,Lightweight,MALE,3,2,0,0,47.14285714,0.365714286,2.142857143,0.448571429,3,3,20,1,0,0,3,1,0,0,4,Southpaw,180.34,177.8,155,28,2,1,-2,-2,2,-12,-1,-1,2,0.0,5.08,-9,-9.80952381,1.0,1.19047619,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,47.0,145.0,0.32,56.0,154.0,1.0,6.0,0.16,0.0,1.0,0.0,12de1febe7ad53340c6b54267f14835b,Reza Madadi,Red,,,,,,judo,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2
Neil Seery,-130,76.92307692,2015-10-24,"Dublin, Leinster, Ireland", Ireland,1,False,Flyweight,MALE,3,1,0,0,46.0,0.4125,0.75,0.3325,2,2,12,0,0,0,2,0,0,0,2,Orthodox,162.56,162.56,125,36,1,1,-1,-1,0,-8,0,0,1,5.08,7.62,8,-31.0,-0.75,-0.083333333,0,1,,,,,,,,,,,,,,,neither,SUB,Guillotine Choke,2.0,4:12,552.0,0.0,38.0,95.0,0.4,47.0,105.0,2.0,5.0,0.4,2.0,0.0,1.0,3c080afe941201b302d13f46596a9c73,Jon Delos Reyes,Red,,,,,,mixed,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
Stevie Ray,-550,18.18181818,2015-10-24,"Dublin, Leinster, Ireland", Ireland,1,False,Lightweight,MALE,3,0,2,0,25.0,0.595,0.0,0.0,2,0,3,0,0,0,0,2,0,0,2,Southpaw,177.8,177.8,155,25,0,-1,-1,-1,-1,3,0,-2,0,2.54,7.62,-3,20.0,-1.0,0.0,0,1,,,,,,,,,,,,,,,neither,U-DEC,,3.0,5:00,900.0,0.0,48.0,150.0,0.32,53.0,156.0,1.0,1.0,1.0,0.0,0.0,0.0,d50670ec1346462819c7d02269f38034,Mickael Lebout,Red,,,,,,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Aisling Daly,100,100.0,2015-10-24,"Dublin, Leinster, Ireland", Ireland,1,False,Women's Strawweight,FEMALE,3,1,0,0,21.5,0.51,1.5,0.45,1,1,4,0,0,0,0,0,1,0,1,Switch,157.48,162.56,115,27,0,0,-1,-1,0,-1,0,0,-1,10.16,10.16,1,-8.5,-1.0,-1.5,0,1,15.0,,,15.0,,,,,,,,,,,1,U-DEC,,3.0,5:00,900.0,0.0,59.0,105.0,0.56,166.0,216.0,2.0,5.0,0.4,0.0,2.0,0.0,8675c5dfb58608c83079c64cc12acd80,Ericka Almeida,Red,,,,,,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Scott Askham,-145,68.96551724,2015-10-24,"Dublin, Leinster, Ireland", Ireland,0,False,Middleweight,MALE,3,0,1,0,26.5,0.75,0.0,0.0,1,1,4,0,0,0,0,1,0,0,1,Southpaw,190.5,190.5,185,27,0,0,0,1,0,4,0,-1,0,-5.08,5.08,1,8.83333333,0.0,0.666666667,0,1,,,,,,,,,,,,,,,neither,S-DEC,,3.0,5:00,900.0,0.0,22.0,67.0,0.32,38.0,83.0,0.0,1.0,0.0,1.0,0.0,0.0,1d76a16a297f5b59afed52f8be6d5255,Krzysztof Jotko,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Cathal Pendred,240,240.0,2015-10-24,"Dublin, Leinster, Ireland", Ireland,0,False,Welterweight,MALE,3,1,0,0,35.4,0.43,2.4,0.246,4,1,14,0,0,1,2,0,1,0,4,Orthodox,185.42,190.5,170,28,1,1,-3,-3,1,-13,0,1,-1,5.08,-5.08,4,-9.4,-0.4,-2.4,0,1,,,,,,,,,,,,,,,neither,KO/TKO,Punches,1.0,4:37,277.0,0.0,5.0,24.0,0.2,8.0,28.0,0.0,1.0,0.0,0.0,0.0,0.0,327f11d89abc37f4551a95e55fc173cb,Tom Breese,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Darren Elkins,-155,64.51612903,2015-10-24,"Dublin, Leinster, Ireland", Ireland,1,False,Featherweight,MALE,3,1,0,0,29.5,0.264166667,1.25,0.295833333,5,4,28,0,0,1,5,2,0,0,8,Orthodox,177.8,180.34,145,31,1,2,-3,-6,3,-22,0,-1,0,-2.54,-5.08,-1,-9.16666667,-1.25,0.416666667,0,1,14.0,,,,,,,,,,14.0,,,,1,,,,,,,,,,,,,,,,,,80b1c782e697010151367782e6d4da08,Rob Whiteford,Red,,United States,Team Alpha Male,California,Sacramento,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Bubba Bush,-330,30.3030303,2015-10-24,"Dublin, Leinster, Ireland", Ireland,0,False,Middleweight,MALE,3,1,0,0,2.0,0.5,0.0,0.0,0,1,1,0,0,0,0,0,0,0,0,Orthodox,182.88,185.42,185,30,0,0,0,0,0,2,0,0,0,2.54,-2.54,-3,11.0,2.0,0.0,0,1,,,,,,,,,,,,,,,neither,KO/TKO,Punches,3.0,4:58,898.0,0.0,8.0,14.0,0.57,31.0,41.0,3.0,6.0,0.5,0.0,5.0,0.0,5c31b9a766d207744a462d6825be68fd,Garreth McLellan,Red,,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Daniel Cormier,-255,39.21568627,2015-10-03,"Houston, Texas, USA", USA,1,True,Light Heavyweight,MALE,5,0,1,0,47.0,0.52,1.666666667,0.348333333,4,1,18,2,0,0,2,1,2,0,5,Orthodox,180.34,182.88,235,36,-1,-1,2,3,-2,4,-1,3,0,15.24,17.78,8,-13.0,-0.378787878,-0.575757576,0,1,0.0,,,,,,0.0,,,,,,,9.0,1,S-DEC,,5.0,5:00,1500.0,,,,,,,,,,,,,5a1b1dcffe51e5ef69f424a1df910ad7,Alexander Gustafsson,Red,,,American Kickboxing Academy,California,San Jose,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
