fighter,odds,date,weight_class,gender,current_lose_streak,current_win_streak,avg_SIG_STlanded,avg_SIG_STpct,avg_TD_landed,avg_TD_pct,longest_win_streak,losses,total_rounds_fought,win_by_Decision_Majority,win_by_Decision_Split,win_by_Decision_Unanimous,win_by_KO/TKO,win_by_Submission,win_by_TKO_Doctor_Stoppage,wins,Stance,Height_cms,Reach_cms,Weight_lbs,age,Women's Flyweight_rank,Women's Featherweight_rank,Women's Strawweight_rank,Women's Bantamweight_rank,Heavyweight_rank,Light Heavyweight_rank,Middleweight_rank,Welterweight_rank,Lightweight_rank,Featherweight_rank,Bantamweight_rank,Flyweight_rank,Pound-for-Pound_rank,avg_SUATT,country_of_origin,camp,camp_country,camp_city,primary_discipline,boxer,wrestler,thai_boxer,kickboxer,karateka,judoka,mixed_martial_artist,taekwondoin,kung_fu_jia,jiujitiero,sambo_practitioner,g_in_a_gi,capoeira_artist,striking_arts,wrestling_arts,no_of_rounds_mean,Weight_lbs_mean,win_dif_mean,height_dif_mean,reach_dif_mean,sig_str_dif_mean,avg_sub_att_dif_mean,avg_td_dif_mean,better_rank_mean,total_fight_time_secs_mean,kd_bout_mean,sig_str_landed_bout_mean,sig_str_attempted_bout_mean,sig_str_pct_bout_mean,tot_str_landed_bout_mean,tot_str_attempted_bout_mean,td_landed_bout_mean,td_attempted_bout_mean,td_pct_bout_mean,sub_attempts_bout_mean,pass_bout_mean,rev_bout_mean,location_mode,date_amin,date_amax,bout_id_unique
Nordine Taleb,-130,2019-09-07,Welterweight,MALE,0,1,3.66,0.51,1.94,0.76,3,4,26,0,1,4,2,0,0,7,Orthodox,185.42,187.96,170,38,,,,,,,,,,,,,,,,Tiger Muay Thai,Thailand,Phuket,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,3.0,170.0,-0.5833333333333334,-1.27,-2.751666666666667,4.979395744166666,-0.12773569025,-0.5399452861666667,0.0,593.7272727272727,0.14285714285714285,35.42857142857143,65.71428571428571,0.6042857142857143,54.714285714285715,86.28571428571429,1.8571428571428572,2.0,0.5,0.0,1.5714285714285714,0.14285714285714285,"Halifax, Nova Scotia, Canada",2014-04-16,2019-09-07,"['07766d1e2868c0a8b9ba7e174b3de643' '2b005b5c10b8fbd51d046b6bcc42851f'
 'd1bc8f0290c8bb47e3030b1465256d79' '397cf45d4ca33b47d4ceee20918955cf'
 '03daa72e48db2ca1613354077ca3a447' '8707dd33496f255b8ff7b596ca7648b7'
 '12ff5038f446d2b220a290a2f0b855ad' '43ae3200df414ec9a646a9aaf1a63885'
 '9662bcd4e400adfd3c53a71acab1550c' '86ad3727c172f8fe1218b1e7134e6107'
 '9e4128436cb9983f6833f0571ad38bc1' '17ee95d2bd1bd4102adb75a82f5e11ac']"
Norifumi Yamamoto,-290,2012-02-25,Bantamweight,MALE,2,0,15.5,0.385,0.5,0.125,0,2,6,0,0,0,0,0,0,0,Southpaw,162.56,167.64,135,34,,,,,,,,,,,,,,,,Krazy Bee,Japan,Tokyo,kickboxing,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1,3.0,135.0,0.0,2.54,-1.6933333333333334,-0.8333333333333334,0.6666666666666666,1.1666666666666667,0.0,689.6666666666666,0.0,18.0,38.5,0.475,24.0,44.5,1.0,3.0,0.375,0.0,0.0,0.5,"['Anaheim, California, USA' 'Las Vegas, Nevada, USA' 'Saitama, Japan']",2011-02-05,2012-02-25,"['56c78f55bf442c3c526ad332001c1bb3' '09bd229e28c8756b643e5277f5ca68a0'
 'a3f8e9e8e1affd9cf6a77fa2c0cbce0d']"
Norma Dumont,110,2020-11-28,Women's Bantamweight,FEMALE,1,0,,,4.27,0.33,0,1,1,0,0,0,0,0,0,0,Orthodox,170.18,170.18,135,30,,,,,,,,,,,,,,0.0,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,135.0,-2.5,-7.619999999999999,-6.35,-2.62,-0.3,1.165,0.0,211.0,0.0,5.0,16.0,0.31,14.0,25.0,1.0,3.0,0.33,0.0,0.0,0.0,"['Las Vegas, Nevada, USA' 'Norfolk, Virginia, USA']",2020-02-29,2020-11-28,['66e031864aab349f1f2d11c5f5e00356' 'd9360c4a715e1c54b1787069768d8ccd']
Norman Parke,170,2016-02-27,Lightweight,MALE,0,1,47.125,0.36,2.0,0.4125,3,3,23,0,0,4,1,0,0,5,Southpaw,180.34,177.8,155,29,,,,,,,,,,,,,,,,,,,judo,0,1,0,0,0,1,1,0,0,0,0,0,0,0,2,3.0,155.0,0.125,-2.54,0.0,-15.1000280375,0.6050120772500001,-0.6921023119999999,0.0,852.625,0.0,41.285714285714285,123.85714285714286,0.3271428571428571,45.57142857142857,128.57142857142858,2.142857142857143,6.142857142857143,0.4971428571428572,0.0,1.8571428571428572,0.0,"Dublin, Leinster, Ireland",2012-12-14,2016-02-27,"['0751703c03c703bad34b2f7fe3f0da89' '12de1febe7ad53340c6b54267f14835b'
 'd17e00872c85dd20edd9263e4d042c7f' '198f023cacf42bf0a3c4bcba72898676'
 '02ccc96fecca80aa56b3563dce21d000' '6d3028c61b45c5c7354f618f5c49b03b'
 'ecb8905d94e3041ee2c8f7a509892a59' '6dbc94615ee034e220bf663b4503b71f']"
Ode Obsourne,-135,2020-01-18,Bantamweight,MALE,0,0,,,3.23,1.0,0,0,0,0,0,0,0,0,0,0,Southpaw,170.18,185.42,135,38,,,,,,,,,,,,,,3.2,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,135.0,-3.0,2.54,17.78,0.0,2.6,1.98,0.0,,,,,,,,,,,,,,"Las Vegas, Nevada, USA",2020-01-18,2020-01-18,['701d558ac042ec00261004908a265dcd']
Oli Thompson,190,2012-08-04,Heavyweight,MALE,1,0,,,0.0,0.0,0,1,2,0,0,0,0,0,0,0,Orthodox,185.42,190.5,242,32,,,,,,,,,,,,,,1.0,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,242.0,-0.5,-6.35,-8.89,9.25,0.5,-0.75,0.0,544.5,,,,,,,,,,,,,"['Los Angeles, California, USA' 'Sydney, New South Wales, Australia']",2012-03-02,2012-08-04,['550d309e6ddee8cd388b08565e698fa9' '498fe0b4af92caf666e7d3b5da31c3ff']
Oliver Enkamp,110,2018-03-17,Welterweight,MALE,1,0,,,1.0,0.2,0,1,3,0,0,0,0,0,0,0,Switch,182.88,195.58,170,26,,,,,,,,,,,,,,0.0,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,170.0,0.5,0.0,0.0,19.883333335,-0.1,1.5833333335,0.0,516.0,0.0,20.5,56.5,0.45499999999999996,26.0,64.0,0.5,3.0,0.1,0.0,0.0,0.0,"['London, England, United Kingdom' 'Stockholm, Sweden']",2017-05-28,2018-03-17,['86ad3727c172f8fe1218b1e7134e6107' '008ba30ac4f8c4f6f77fa56a67cbcbd9']
Olivier Aubin-Mercier,145,2019-07-27,Lightweight,MALE,2,0,2.48,0.51,2.36,0.33,4,4,29,0,1,1,1,4,0,7,Southpaw,175.26,177.8,155,30,,,,,,,,,,,,,,,,Tristar Gym,Quebec,Montreal,judo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,3.0,155.0,-1.0,-0.42333333333333334,1.2699999999999998,-6.315727512499998,-0.10773809524999998,-0.6436574074166665,0.0,731.25,0.1111111111111111,31.0,60.333333333333336,0.5044444444444445,53.666666666666664,86.44444444444444,2.3333333333333335,7.0,0.27666666666666667,0.4444444444444444,2.3333333333333335,0.1111111111111111,"Toronto, Ontario, Canada",2014-04-16,2019-07-27,"['31789b11a8fb3fa7687cde4e111be011' '629ec0ebc2f2e857b6584995a6465e7a'
 'c0e34ff0b735da22ee1ece0f5a19d808' '46f38879e3f4ea50af27f9d0660238ae'
 'fbc4387ed59d5eaec353440c52572e95' 'b345650151c171298bd92ed101ef1873'
 'ca77e65f211f64b159b8496f5a6e9dc8' 'a1a2431ac89a061bb2d6ad1fe5d1fd43'
 '127b339e4cbcff3e40ea6f52d193e439' 'ccf79f59849699e0feb34f45280e4ad2'
 '71cf705c93d8caa4a34587871e92fdc4' '10108e8f0965f2c2f5fc64e92830bd96']"
Oluwale Bamgbose,140,2017-12-16,Middleweight,MALE,2,0,,,0.5,0.1,1,3,7,0,0,0,1,0,0,1,Switch,180.34,198.12,185,30,,,,,,,,,,,,,,0.0,,,,,taekwondo,0,0,1,0,1,0,0,1,1,1,0,0,0,4,0,3.0,185.0,-0.4,0.0,7.111999999999999,-15.283809524,-0.08476190480000001,-0.2352380952,0.0,382.4,0.6666666666666666,12.666666666666666,29.333333333333332,0.4566666666666667,28.0,48.666666666666664,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,"['Nashville, Tennessee, USA' 'Pittsburgh, Pennsylvania, USA'
 'Rio de Janeiro, Rio de Janeiro, Brazil' 'Tampa, Florida, USA'
 'Winnipeg, Manitoba, Canada']",2015-08-08,2017-12-16,"['ceec32ae1cfc3678de16c0f0ead6d184' '28644a91174245c77bcd4997b210ed88'
 'f8f5270520f4bedf97a78030cafd15cf' '47dca263307c6c15c734fab57a4026b8'
 'b13c4bd1bdc293a44de709d43442201a']"
Omar Antonio Morales Ferrer,-200,2019-12-21,Lightweight,MALE,0,0,,,0.0,0.0,0,0,0,0,0,0,0,0,0,0,Orthodox,175.26,185.42,155,34,,,,,,,,,,,,,,0.0,,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,155.0,-3.0,-5.08,6.35,0.0,0.0,-1.55,0.0,,,,,,,,,,,,,,"Busan, South Korea",2019-12-21,2019-12-21,['3e41dc36b282c5f410429d60b92e3c2c']
Omar Morales,-175,2020-10-10,Featherweight,MALE,0,2,,,0.42,1.0,2,0,6,0,0,2,0,0,0,2,Orthodox,180.34,185.42,145,34,,,,,,,,,,,,,,0.0,Venezuela,,,,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3.0,150.0,-2.5,2.54,1.27,-0.08999999999999997,-0.75,0.20500000000000002,0.0,900.0,0.0,63.0,215.0,0.29,63.0,215.0,0.0,0.0,0.0,0.0,0.0,0.0,"['Abu Dhabi, Abu Dhabi, United Arab Emirates' 'Jacksonville, Florida, USA']",2020-05-13,2020-10-10,['e59a258c3996a72ac1575313a2e4d7ce' '777edb418732a82af42fb1c598f2c5d8']
