fighter,primary_discipline,boxer,wrestler,thai_boxer,kickboxer,karateka,judoka,mixed_martial_artist,taekwondoin,kung_fu_jia,jiujitiero,sambo_practitioner,g_in_a_gi,capoeira_artist,striking_arts,wrestling_arts
Ilia Topuria,mixed,1,1,0,0,0,0,1,0,0,1,0,0,0,1,1
Gian Villante,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Anthony Smith,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Miguel Baeza,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Josh Parisian,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Spike Carlyle,karate,0,1,0,0,1,0,1,0,0,1,0,0,0,1,1
Ashlee Evans-Smith,mixed,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
Jonathan Pearce,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Martin Day,taekwondo,1,0,0,1,0,0,1,1,0,0,0,0,0,3,0
Gina Mazany,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Luke Sanders,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Deiveson Figueiredo,wrestling,0,1,0,1,0,0,1,0,0,0,0,0,1,2,1
Valentina Shevchenko,kickboxing,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0
Mike Perry,boxing,1,0,0,0,0,0,1,0,0,1,0,1,0,1,0
Katlyn Chookagian,karate,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
Mauricio Rua,jiu jitsu,1,1,1,0,0,0,0,0,0,1,0,0,0,2,1
Brandon Moreno,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Antonina Shevchenko,kickboxing,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0
Daniel Rodriguez,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Alan Jouban,muay thai,0,1,1,0,0,0,0,0,0,1,0,0,0,1,1
Kyle Daukaus,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Louis Cosce,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Paul Felder,karate,0,0,1,0,1,0,1,1,0,1,0,0,0,3,0
Abdul Razak Alhassan,judo,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
Kay Hansen,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Brendan Allen,jiu jitsu,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
Ashley Yoder,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alex Morono,jiu jitsu,1,0,1,1,0,0,0,1,0,1,0,0,0,4,0
Randa Markos,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Geraldo de Freitas,jiu jitsu,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0
Don'Tale Mayes,judo,0,0,0,0,0,1,1,0,0,0,0,1,0,0,1
Thiago Santos,capoeira,0,0,1,0,0,0,0,0,0,1,0,0,1,2,0
Andrei Arlovski,sambo,0,0,0,1,0,1,1,0,0,0,1,1,0,1,2
Raoni Barcelos,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Claudia Gadelha,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Trevin Giles,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Giga Chikadze,karate,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Alexandr Romanov,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Darren Elkins,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Max Griffin,taekwondo,0,0,0,1,0,0,0,1,1,0,0,0,0,3,0
Gustavo Lopez,wrestling,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Uriah Hall,karate,0,0,0,1,1,0,1,0,0,1,0,0,0,2,0
Bryce Mitchell,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Maurice Greene,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bobby Green,wrestling,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1
Chris Gruetzemacher,wrestling,0,1,1,0,0,0,1,0,0,1,0,0,0,1,1
Adrian Yanez,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sean Strickland,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Cole Williams,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Dustin Jacoby,kickboxing,0,1,0,1,0,0,0,1,0,0,0,0,0,2,1
Miles Johns,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Khabib Nurmagomedov,sambo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Robert Whittaker,karate,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0
Alexander Volkov,karate,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
Jacob Malkoun,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Lauren Murphy,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Magomed Ankalaev,sambo,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Stefan Struve,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Nathaniel Wood,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alex Oliveira,muay thai,0,0,1,0,0,0,1,0,0,1,0,1,0,1,0
Liana Jojua,muay thai,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0
Joel Alvarez,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brian Ortega,jiu jitsu,0,0,1,0,0,0,0,0,0,1,0,1,0,1,0
Jimmy Crute,mixed,0,0,0,0,1,1,1,0,0,1,0,0,0,1,1
Claudio Silva,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Thomas Almeida,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Mateusz Gamrot,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Junyong Park,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jamie Mullarkey,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Gadzhimurad Antigulov,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Said Nurmagomedov,sambo,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1
Edson Barboza,muay thai,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0
Ben Rothwell,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Markus Perez,kung fu,0,0,1,0,0,0,1,0,1,1,0,0,0,2,0
Tom Aspinall,jiu jitsu,1,1,0,0,0,0,0,0,0,1,0,0,0,1,1
Youssef Zalal,kickboxing,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0
Tom Breese,jiu jitsu,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1
Chris Daukaus,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Impa Kasanganay,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Ali AlQaisi,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Tracy Cortez,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Bruno Silva,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Holly Holm,kickboxing,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
Yorgan De Castro,kickboxing,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Germaine de Randamie,muay thai,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0
Kyler Phillips,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Dequan Townsend,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jordan Williams,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Loma Lookboonmee,muay thai,1,0,1,1,0,0,1,0,0,0,0,0,0,3,0
Casey Kenney,judo,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
Luigi Vendramini,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Israel Adesanya,kickboxing,1,0,1,1,0,0,1,0,0,0,0,0,0,3,0
Dominick Reyes,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Kai Kara-France,muay thai,1,0,1,1,0,0,1,0,0,1,0,0,0,3,0
Ketlen Vieira,jiu jitsu,0,1,0,0,0,1,0,0,0,1,0,0,0,0,2
Hakeem Dawodu,muay thai,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0
Brad Riddell,muay thai,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0
Diego Sanchez,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Shane Young,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
William Knight,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Juan Espino,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Khadis Ibragimov,mixed,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
Colby Covington,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Khamzat Chimaev,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Johnny Walker,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jordan Espinosa,wrestling,0,1,0,1,0,0,1,0,0,0,0,0,0,1,1
Mirsad Bektic,boxing,1,0,0,0,1,0,1,0,0,0,0,0,0,2,0
Mayra Bueno Silva,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Jessica-Rose Clark,kickboxing,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Darrick Minner,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Journey Newson,mixed,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Andre Ewell,boxing,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Tyson Nam,judo,1,0,0,1,0,1,0,0,0,0,0,0,0,2,1
Michelle Waterson,karate,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Ottman Azaitar,kickboxing,1,0,1,1,0,0,0,0,0,0,0,0,0,3,0
Ed Herman,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Billy Quarantillo,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Julia Avila,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Roosevelt Roberts,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Brok Weaver,kickboxing,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
Bryan Barberena,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sabina Mazo,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Brian Kelleher,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Andre Muniz,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Viviane Araujo,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Cole Smith,jiu jitsu,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
Robbie Lawler,karate,0,0,0,0,1,0,1,1,0,0,0,0,0,2,0
Ji Yeon Kim,kung fu,0,0,0,1,0,0,1,0,1,0,0,0,0,2,0
Ricardo Lamas,wrestling,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
Maki Pitolo,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Mallory Martin,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alessio Di Chirico,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Alex Caceres,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Polyana Viana,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Sean Brady,jiu jitsu,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Pedro Munhoz,karate,0,0,0,0,1,1,0,0,0,1,0,0,0,1,1
Marcin Prachnio,karate,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
Mariya Agapova,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Amanda Lemos,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Austin Hubbard,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Carlton Minus,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Timur Valiev,sambo,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
Stipe Miocic,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Sean O'Malley,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
John Dodson,wrestling,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
Jim Miller,wrestling,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1
Felice Herrig,muay thai,0,0,1,1,0,0,1,0,0,0,0,0,0,2,0
Herbert Burns,karate,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0
TJ Brown,mixed,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
Derrick Lewis,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Yana Kunitskaya,taekwondo,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
Beneil Dariush,muay thai,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0
Tim Means,mixed,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
Nasrat Haqparast,kickboxing,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0
